user_id,accuracy,precision,recall,balanced_accuracy
11,0.677871,0.229258,0.321101,0.539494
28,0.72612,0.119217,0.378531,0.567464
91,0.667052,0.24263,0.30659,0.532368
503,0.679842,0.396078,0.372694,0.582433
661,0.723979,0.113111,0.372881,0.563226
675,0.721538,0.275449,0.433962,0.605768
765,0.655693,0.283976,0.329412,0.541106
942,0.685897,0.09434,0.223881,0.482676
1406,0.537152,0.321212,0.220833,0.472486
1445,0.69587,0.091133,0.24026,0.49236
1459,0.700676,0.17226,0.323529,0.541322
1571,0.725664,0.196532,0.419753,0.593461
1896,0.711819,0.126943,0.335616,0.543911
2000,0.722829,0.153846,0.386364,0.57354
2052,0.696745,0.094382,0.247059,0.496078
2128,0.508429,0.508772,0.259392,0.506456
2314,0.579694,0.232365,0.21875,0.469223
2362,0.722222,0.112583,0.354167,0.554373
2381,0.722807,0.049724,0.26087,0.503591
2420,0.734447,0.06772,0.384615,0.56776
2511,0.669512,0.177694,0.264045,0.507949
2723,0.647396,0.201357,0.252841,0.499897
2742,0.418942,0.69869,0.261224,0.50956
2768,0.603368,0.250564,0.24026,0.488384
2861,0.744027,0.213333,0.5,0.636973
3033,0.647773,0.154545,0.222951,0.480857
3074,0.690659,0.238095,0.342679,0.553928
3106,0.656638,0.111111,0.191964,0.464181
3122,0.591176,0.236641,0.222222,0.476158
3795,0.777143,0.413043,0.612903,0.712702
3966,0.507973,0.542986,0.266075,0.514771
4220,0.635349,0.350114,0.312245,0.539057
4487,0.712722,0.134771,0.33557,0.545546
4672,0.702635,0.189055,0.339286,0.550665
4779,0.726509,0.119266,0.357798,0.558899
11,0.677871,0.229258,0.321101,0.539494
28,0.72612,0.119217,0.378531,0.567464
4869,0.605526,0.27907,0.24948,0.497691
4906,0.69785,0.096998,0.245614,0.496678
5114,0.651191,0.157005,0.226481,0.483981
5129,0.774668,0.111888,0.32,0.564439
5194,0.494949,0.384106,0.218868,0.468097
5225,0.548148,0.479129,0.27702,0.51962
5262,0.684385,0.05283,0.146597,0.442296
5517,0.596532,0.331481,0.263623,0.507757
5590,0.674524,0.143911,0.23494,0.493671
5797,0.639874,0.174067,0.225287,0.4829
5801,0.592083,0.328054,0.259392,0.504274
